Code,Name,ZipCode
4113452,LINDOESTE,85826
4113502,LOANDA,87900
4113601,LOBATO,86790
4113700,LONDRINA,86000
4113734,LUIZIANA,87290
4113759,LUNARDELLI,86935
4113809,LUPIONOPOLIS,86635
4113908,MALLET,84570
4114005,MAMBORE,87340
4114104,MANDAGUACU,87160
4114203,MANDAGUARI,86975
4114302,MANDIRITUBA,83800
4114351,MANFRINOPOLIS,85628
4114401,MANGUEIRINHA,85540
4114500,MANOEL RIBAS,85260
4114609,MARECHAL CANDIDO RONDON,85960
4114708,MARIA HELENA,87480
4114807,MARIALVA,86990
4114906,MARILANDIA DO SUL,86825
4115002,MARILENA,87960
4115101,MARILUZ,87470
4115200,MARINGA,87000
4115309,MARIOPOLIS,85525
4115358,MARIPA,85955
4115408,MARMELEIRO,85615
4115457,MARQUINHO,85168
4115507,MARUMBI,86910
4115606,MATELANDIA,85887
4115705,MATINHOS,83260
4115739,MATO RICO,85240
4115754,MAUA DA SERRA,86828
4115804,MEDIANEIRA,85884
4115853,MERCEDES,85998
4115903,MIRADOR,87840
4116000,MIRASELVA,86615
4116059,MISSAL,85890
4116109,MOREIRA SALES,87370
4116208,MORRETES,83350
4116307,MUNHOZ DE MELO,86760
4116406,NOSSA SENHORA DAS GRACAS,86680
4116505,NOVA ALIANCA DO IVAI,87790
4116604,NOVA AMERICA DA COLINA,86230
4116703,NOVA AURORA,85410
4116802,NOVA CANTU,87330
4116901,NOVA ESPERANCA,87600
4116950,NOVA ESPERANCA DO SUDOESTE,85635
4117008,NOVA FATIMA,86310
4117057,NOVA LARANJEIRAS,85350
4117107,NOVA LONDRINA,87970
4117206,NOVA OLIMPIA,87490
4117214,NOVA SANTA BARBARA,86250
4117222,NOVA SANTA ROSA,85930
4117255,NOVA PRATA DO IGUACU,85685
4117271,NOVA TEBAS,85250
4117297,NOVO ITACOLOMI,86895
4117305,ORTIGUEIRA,84350
4117404,OURIZONA,87170
4117453,OURO VERDE DO OESTE,85933
4117503,PAICANDU,87140
4117602,PALMAS,85555
4117701,PALMEIRA,84130
4117800,PALMITAL,85270
4117909,PALOTINA,85950
4118006,PARAISO DO NORTE,87780
4118105,PARANACITY,87660
4118204,PARANAGUA,83200
4118303,PARANAPOEMA,87680
4118402,PARANAVAI,87700
4118451,PATO BRAGADO,85948
4118501,PATO BRANCO,85500
4118600,PAULA FREITAS,84630
4118709,PAULO FRONTIN,84635
4118808,PEABIRU,87250
4118857,PEROBAL,87538
4118907,PEROLA,87540
4119004,PEROLA D OESTE,85740
4119103,PIEN,83860
4119152,PINHAIS,83320
4119202,PINHALAO,84925
4119251,PINHAL DE SAO BENTO,85727
4119301,PINHAO,85170
4119400,PIRAI DO SUL,84240
4119509,PIRAQUARA,83300
4119608,PITANGA,85200
4119657,PITANGUEIRAS,86613
